Year (2010-2018),country,gini_index_reported,palma,ratio_top20bottom20,bottom40,region_un,OECD=Countries the support the free market,incomegroup,reference_period, gdp_ppp_pc_usd2011 , population 
1998,Netherlands,25,0.88,3.5,24,Europe,OECD,High income,Year,38831," 15,745,650.00 "
1998,Netherlands,31.8,,,,Europe,OECD,High income,Year,38831," 15,745,647.00 "
1999,Netherlands,28,0.97,4.09,22.54,Europe,OECD,High income,Year,40554," 15,835,525.00 "
1999,Netherlands,23.1,0.76,3.24,25.19,Europe,OECD,High income,Year,40554," 15,835,525.00 "
1999,Netherlands,31.4,1.16,4.85,20.8,Europe,OECD,High income,Year,40554," 15,835,525.00 "
1999,Netherlands,27.5,0.95,4.13,22.58,Europe,OECD,High income,Year,40554," 15,835,525.00 "
1999,Netherlands,26,0.92,3.6,24,Europe,OECD,High income,Year,40554," 15,835,525.00 "
1999,Netherlands,32,,,,Europe,OECD,High income,Year,40554," 15,835,523.00 "
2000,Netherlands,29,0.84,3.5,25,Europe,OECD,High income,Year,42015," 15,926,188.00 "
2000,Netherlands,32.5,,,,Europe,OECD,High income,Year,42015," 15,926,188.00 "
2000,Netherlands,29.2,,,,Europe,OECD,High income,Year,42015," 15,926,188.00 "
2000,Netherlands,42.4,,,,Europe,OECD,High income,Year,42015," 15,926,188.00 "
2001,Netherlands,27,0.91,4,23,Europe,OECD,High income,Year,42746," 16,018,112.00 "
2002,Netherlands,27,,,,Europe,OECD,High income,Year,42593," 16,110,355.00 "
2003,Netherlands,27,,,,Europe,OECD,High income,,42421," 16,200,951.00 "
2004,Netherlands,30.6,1.14,4.78,21.38,Europe,OECD,High income,Year,43034," 16,287,183.00 "
2004,Netherlands,26.7,0.94,3.88,23.57,Europe,OECD,High income,Year,43034," 16,287,183.00 "
2004,Netherlands,33.6,1.32,5.49,19.93,Europe,OECD,High income,Year,43034," 16,287,183.00 "
2004,Netherlands,30.9,1.16,4.9,21.05,Europe,OECD,High income,Year,43034," 16,287,183.00 "
2004,Netherlands,29.8,1.09,4.55,21.78,Europe,OECD,High income,Year,43034," 16,287,183.00 "
2005,Netherlands,26.9,0.94,4,23.5,Europe,OECD,High income,Year,43702," 16,367,153.00 "
2005,Netherlands,28.4,,,,Europe,OECD,High income,Year,43702," 16,367,158.00 "
2005,Netherlands,42.6,,,,Europe,OECD,High income,Year,43702," 16,367,158.00 "
2005,Netherlands,29.05,1.05,4.35,22.27,Europe,OECD,High income,Year,43702," 16,367,153.00 "
2006,Netherlands,26.4,0.92,3.82,23.9,Europe,OECD,High income,Year,45014," 16,440,092.00 "
2006,Netherlands,28,,,,Europe,OECD,High income,Year,45014," 16,440,222.00 "
2006,Netherlands,42.4,,,,Europe,OECD,High income,Year,45014," 16,440,222.00 "
2006,Netherlands,30.04,1.12,4.48,22.05,Europe,OECD,High income,Year,45014," 16,440,092.00 "
2007,Netherlands,30.1,1.11,4.54,21.91,Europe,OECD,High income,Year,46524," 16,506,652.00 "
2007,Netherlands,27.7,1,3.97,23.3,Europe,OECD,High income,Year,46524," 16,506,652.00 "
2007,Netherlands,34.3,1.37,5.74,19.52,Europe,OECD,High income,Year,46524," 16,506,652.00 "
2007,Netherlands,32.8,1.28,5.34,20.04,Europe,OECD,High income,Year,46524," 16,506,652.00 "
2007,Netherlands,27.6,1,3.98,23.4,Europe,OECD,High income,Year,46524," 16,506,652.00 "
2007,Netherlands,29.5,,,,Europe,OECD,High income,Year,46523," 16,507,056.00 "
2007,Netherlands,43,,,,Europe,OECD,High income,Year,46523," 16,507,056.00 "
2007,Netherlands,29.59,1.08,4.4,22.18,Europe,OECD,High income,Year,46524," 16,506,652.00 "
2008,Netherlands,27.6,0.99,4,23.5,Europe,OECD,High income,Year,47357," 16,568,105.00 "
2008,Netherlands,28.6,,,,Europe,OECD,High income,Year,47356," 16,568,734.00 "
2008,Netherlands,41.7,,,,Europe,OECD,High income,Year,47356," 16,568,734.00 "
2008,Netherlands,29.3,1.07,4.4,22.2,Europe,OECD,High income,Year,47357," 16,568,105.00 "
2009,Netherlands,27.2,0.97,3.99,23.5,Europe,OECD,High income,Year,45461," 16,626,379.00 "
2009,Netherlands,28.3,,,,Europe,OECD,High income,Year,45459," 16,626,926.00 "
2009,Netherlands,41.7,,,,Europe,OECD,High income,Year,45459," 16,626,926.00 "
2009,Netherlands,27.88,0.98,4.12,22.74,Europe,OECD,High income,Year,45461," 16,626,379.00 "
2010,Netherlands,28.4,1.01,4.26,22.49,Europe,OECD,High income,Year," $45,915.00 "," 16,682,928.00 "
2010,Netherlands,25.7,0.89,3.66,24.02,Europe,OECD,High income,Year," $45,915.00 "," 16,682,928.00 "
2010,Netherlands,32.4,1.23,5.26,20.31,Europe,OECD,High income,Year," $45,915.00 "," 16,682,928.00 "
2010,Netherlands,30.6,1.13,4.85,20.87,Europe,OECD,High income,Year," $45,915.00 "," 16,682,928.00 "
2010,Netherlands,25.5,0.88,3.65,24.2,Europe,OECD,High income,Year," $45,915.00 "," 16,682,928.00 "
2010,Netherlands,28.3,,,,Europe,OECD,High income,Year," $45,915.00 "," 16,682,917.00 "
2010,Netherlands,42.1,,,,Europe,OECD,High income,Year," $45,915.00 "," 16,682,917.00 "
2010,Netherlands,27.84,0.98,4.12,22.77,Europe,OECD,High income,Year," $45,915.00 "," 16,682,928.00 "
2011,Netherlands,25.8,0.89,3.76,24,Europe,OECD,High income,Year," $46,473.00 "," 16,738,191.00 "
2011,Netherlands,27.75,0.98,4.07,22.93,Europe,OECD,High income,Year," $46,473.00 "," 16,738,191.00 "
2012,Netherlands,25.4,0.87,3.6,24.4,Europe,OECD,High income,Year," $45,848.00 "," 16,791,850.00 "
2012,Netherlands,27.8,,,,Europe,OECD,High income,Year," $45,855.00 "," 16,789,095.00 "
2012,Netherlands,42.4,,,,Europe,OECD,High income,Year," $45,855.00 "," 16,789,095.00 "
2012,Netherlands,27.62,0.98,4.04,23.04,Europe,OECD,High income,Year," $45,848.00 "," 16,791,850.00 "
2013,Netherlands,28.7,1.03,4.34,22.43,Europe,OECD,High income,Year," $45,647.00 "," 16,843,512.00 "
2013,Netherlands,26.4,0.92,3.81,23.64,Europe,OECD,High income,Year," $45,647.00 "," 16,843,512.00 "
2013,Netherlands,33.1,1.29,5.44,20.07,Europe,OECD,High income,Year," $45,647.00 "," 16,843,512.00 "
2013,Netherlands,31.6,1.2,5.08,20.46,Europe,OECD,High income,Year," $45,647.00 "," 16,843,512.00 "
2013,Netherlands,25.1,0.87,3.58,24.4,Europe,OECD,High income,Year," $45,647.00 "," 16,843,512.00 "
2013,Netherlands,28.9,,,,Europe,OECD,High income,Year," $45,658.00 "," 16,839,699.00 "
2013,Netherlands,32.9,,,,Europe,OECD,High income,Year," $45,658.00 "," 16,839,699.00 "
2013,Netherlands,43.9,,,,Europe,OECD,High income,Year," $45,658.00 "," 16,839,699.00 "
2013,Netherlands,28.1,1,4.18,22.74,Europe,OECD,High income,Year," $45,647.00 "," 16,843,512.00 "
2014,Netherlands,26.2,0.91,3.84,23.8,Europe,OECD,High income,Year," $46,163.00 "," 16,892,518.00 "
2014,Netherlands,30.5,,,,Europe,OECD,High income,Year," $46,172.00 "," 16,889,356.00 "
2014,Netherlands,34.7,,,,Europe,OECD,High income,Year," $46,172.00 "," 16,889,356.00 "
2014,Netherlands,45.8,,,,Europe,OECD,High income,Year," $46,172.00 "," 16,889,356.00 "
2014,Netherlands,28.63,1.03,4.26,22.58,Europe,OECD,High income,Year," $46,163.00 "," 16,892,518.00 "
2015,Netherlands,26.7,0.94,3.82,23.7,Europe,OECD,High income,Year," $46,940.00 "," 16,938,492.00 "
2015,Netherlands,30.3,,,,Europe,OECD,High income,Year," $46,940.00 "," 16,938,499.00 "
2015,Netherlands,34.6,,,,Europe,OECD,High income,Year," $46,940.00 "," 16,938,499.00 "
2015,Netherlands,45.7,,,,Europe,OECD,High income,Year," $46,940.00 "," 16,938,499.00 "
2015,Netherlands,28.24,1.01,4.19,22.77,Europe,OECD,High income,Year," $46,940.00 "," 16,938,492.00 "
2016,Netherlands,26.9,0.95,3.92,23.3,Europe,OECD,High income,Year," $47,847.00 "," 16,981,286.00 "
2016,Netherlands,28.5,1.03,4.28,22.4,Europe,OECD,High income,," $47,847.00 "," 16,981,286.00 "
2017,Netherlands,27.1,0.95,3.98,23.2,Europe,OECD,High income,Year," $49,124.00 "," 17,021,344.00 "
2018,Netherlands,27,0.95,3.97,23.3,Europe,OECD,High income,Year," $50,287.00 "," 17,059,560.00 "
1954,New Zealand,66.6,,,,Oceania,OECD,High income,,," 2,088,483.00 "
1955,New Zealand,67.2,,,,Oceania,OECD,High income,,," 2,136,391.00 "
1956,New Zealand,66.7,,,,Oceania,OECD,High income,,," 2,183,462.00 "
1957,New Zealand,66.7,,,,Oceania,OECD,High income,,," 2,229,826.00 "
1958,New Zealand,35.7,,,,Oceania,OECD,High income,,," 2,276,133.00 "
1958,New Zealand,65.2,,,,Oceania,OECD,High income,,," 2,276,133.00 "
1959,New Zealand,60.6,,,,Oceania,OECD,High income,,," 2,323,413.00 "
1960,New Zealand,61,,,,Oceania,OECD,High income,,," 2,372,594.00 "
1961,New Zealand,59.7,,,,Oceania,OECD,High income,,," 2,424,066.00 "
1963,New Zealand,58.2,,,,Oceania,OECD,High income,,," 2,530,173.00 "
1964,New Zealand,58.1,,,,Oceania,OECD,High income,,," 2,580,530.00 "
1965,New Zealand,57.7,,,,Oceania,OECD,High income,,," 2,626,645.00 "
1966,New Zealand,31.4,1.18,4.78,20.9,Oceania,OECD,High income,Year,," 2,667,082.00 "
1966,New Zealand,56.3,,,,Oceania,OECD,High income,,," 2,667,082.00 "
1967,New Zealand,39.3,1.74,10.14,15.3,Oceania,OECD,High income,Year,," 2,702,676.00 "
1967,New Zealand,55.6,,,,Oceania,OECD,High income,,," 2,702,676.00 "
1968,New Zealand,38.8,1.7,9.84,15.6,Oceania,OECD,High income,Year,," 2,736,827.00 "
1968,New Zealand,55.4,,,,Oceania,OECD,High income,,," 2,736,827.00 "
1969,New Zealand,40.6,1.88,11.44,14.6,Oceania,OECD,High income,Year,," 2,774,367.00 "
1969,New Zealand,55.1,,,,Oceania,OECD,High income,,," 2,774,367.00 "
1970,New Zealand,37.1,1.53,8.57,16.7,Oceania,OECD,High income,Year,," 2,818,387.00 "
1970,New Zealand,55.2,,,,Oceania,OECD,High income,,," 2,818,387.00 "
1971,New Zealand,35.6,1.43,7.25,17.8,Oceania,OECD,High income,Year,," 2,870,822.00 "
1971,New Zealand,54.7,,,,Oceania,OECD,High income,,," 2,870,822.00 "
1972,New Zealand,54.3,,,,Oceania,OECD,High income,,," 2,929,686.00 "
1973,New Zealand,30,,5.43,20.34,Oceania,OECD,High income,,," 2,989,409.00 "
1973,New Zealand,55.2,,,,Oceania,OECD,High income,,," 2,989,409.00 "
1974,New Zealand,54.7,,,,Oceania,OECD,High income,,," 3,042,177.00 "
1975,New Zealand,30,,5.56,19.57,Oceania,OECD,High income,,," 3,082,633.00 "
1975,New Zealand,53.2,,,,Oceania,OECD,High income,,," 3,082,633.00 "
1976,New Zealand,51.5,,,,Oceania,OECD,High income,,," 3,108,570.00 "
1977,New Zealand,33,,6.42,18.88,Oceania,OECD,High income,,," 3,122,406.00 "
1977,New Zealand,52.3,,,,Oceania,OECD,High income,,," 3,122,406.00 "
1978,New Zealand,31.9,,5.94,19.38,Oceania,OECD,High income,,," 3,128,956.00 "
1980,New Zealand,34.8,,6.74,17.81,Oceania,OECD,High income,,," 3,146,619.00 "
1982,New Zealand,27.2,0.91,,22.3,Oceania,OECD,High income,Year,," 3,188,537.00 "
1982,New Zealand,33.9,,5.12,19.6,Oceania,OECD,High income,,," 3,188,539.00 "
1982,New Zealand,28.3,,,,Oceania,OECD,High income,Year,," 3,188,539.00 "
1982,New Zealand,35,,7.11,17.1,Oceania,OECD,High income,,," 3,188,539.00 "
1984,New Zealand,27.5,0.93,,22.2,Oceania,OECD,High income,,," 3,243,034.00 "
1984,New Zealand,35.3,1.4,6.63,18.31,Oceania,OECD,High income,,," 3,243,036.00 "
1985,New Zealand,27.1,,,,Oceania,OECD,High income,Year,," 3,268,236.00 "
1985,New Zealand,40.8,,,,Oceania,OECD,High income,Year,," 3,268,236.00 "
1986,New Zealand,27,0.92,,22.8,Oceania,OECD,High income,Year,," 3,290,304.00 "
1986,New Zealand,27.8,,,,Oceania,OECD,High income,Year,," 3,290,304.00 "
1986,New Zealand,35,,7.16,17.6,Oceania,OECD,High income,,," 3,290,304.00 "
1988,New Zealand,27.1,0.91,,22.4,Oceania,OECD,High income,,," 3,332,787.00 "
1990,New Zealand,30.2,1.1,,21.3,Oceania,OECD,High income,Year,23554," 3,398,175.00 "
1990,New Zealand,31.8,,,,Oceania,OECD,High income,Year,23554," 3,398,172.00 "
1990,New Zealand,46.8,,,,Oceania,OECD,High income,Year,23554," 3,398,172.00 "
1991,New Zealand,33.4,,,,Oceania,OECD,High income,Year,22973," 3,446,170.00 "
1992,New Zealand,31.9,1.18,,20,Oceania,OECD,High income,,22846," 3,503,194.00 "
1992,New Zealand,38.2,1.62,8,16.92,Oceania,OECD,High income,,22846," 3,503,181.00 "
1994,New Zealand,32.2,1.21,,19.9,Oceania,OECD,High income,Year,24704," 3,623,272.00 "
1995,New Zealand,33.5,,,,Oceania,OECD,High income,Year,25507," 3,674,936.00 "
1995,New Zealand,48.8,,,,Oceania,OECD,High income,Year,25507," 3,674,936.00 "
1996,New Zealand,33.1,1.28,,19.8,Oceania,OECD,High income,,26129," 3,717,352.00 "
1996,New Zealand,34.1,,,,Oceania,OECD,High income,Year,26129," 3,717,349.00 "
1996,New Zealand,40.4,1.84,8.47,16.05,Oceania,OECD,High income,,26129," 3,717,349.00 "
1998,New Zealand,33,1.28,,19.7,Oceania,OECD,High income,Year,26401," 3,783,976.00 "
2000,New Zealand,33.9,,,,Oceania,OECD,High income,Year,28092," 3,858,999.00 "
2000,New Zealand,48.4,,,,Oceania,OECD,High income,Year,28092," 3,858,999.00 "
2001,New Zealand,33.8,1.34,,19.3,Oceania,OECD,High income,Year,28703," 3,907,941.00 "
2003,New Zealand,33.5,,,,Oceania,OECD,High income,Year,30526," 4,022,069.00 "
2003,New Zealand,47.3,,,,Oceania,OECD,High income,Year,30526," 4,022,069.00 "
2004,New Zealand,33.4,1.3,,19,Oceania,OECD,High income,Year,31303," 4,080,421.00 "
2007,New Zealand,32.1,1.2,,20.2,Oceania,OECD,High income,Year,33029," 4,233,046.00 "
2008,New Zealand,33,1.29,,19.9,Oceania,OECD,High income,,32352," 4,278,156.00 "
2008,New Zealand,33,,,,Oceania,OECD,High income,Year,32350," 4,278,325.00 "
2008,New Zealand,45.5,,,,Oceania,OECD,High income,Year,32350," 4,278,325.00 "
2009,New Zealand,32.7,1.27,,20.1,Oceania,OECD,High income,Year,31945," 4,323,338.00 "
2009,New Zealand,32.4,,,,Oceania,OECD,High income,Year,31944," 4,323,482.00 "
2009,New Zealand,45.4,,,,Oceania,OECD,High income,Year,31944," 4,323,482.00 "
2010,New Zealand,32.3,1.24,,20.1,Oceania,OECD,High income,," $32,090.00 "," 4,370,060.00 "
2011,New Zealand,35,1.44,,18.9,Oceania,OECD,High income,Year," $32,478.00 "," 4,418,674.00 "
2011,New Zealand,32.3,,,,Oceania,OECD,High income,Year," $32,480.00 "," 4,418,365.00 "
2011,New Zealand,34.9,,,,Oceania,OECD,High income,Year," $32,480.00 "," 4,418,365.00 "
2011,New Zealand,45.4,,,,Oceania,OECD,High income,Year," $32,480.00 "," 4,418,365.00 "
2012,New Zealand,32.2,1.22,,20.2,Oceania,OECD,High income,," $32,831.00 "," 4,468,462.00 "
2012,New Zealand,33.3,,,,Oceania,OECD,High income,Year," $32,836.00 "," 4,467,743.00 "
2012,New Zealand,36,,,,Oceania,OECD,High income,Year," $32,836.00 "," 4,467,743.00 "
2012,New Zealand,46.1,,,,Oceania,OECD,High income,Year," $32,836.00 "," 4,467,743.00 "
2013,New Zealand,33.6,1.32,,19.6,Oceania,OECD,High income,Year," $33,303.00 "," 4,518,519.00 "
2014,New Zealand,34.3,1.37,,19,Oceania,OECD,High income,," $34,170.00 "," 4,567,522.00 "
2014,New Zealand,37.2,,,,Oceania,OECD,High income,Year," $34,176.00 "," 4,566,700.00 "
2014,New Zealand,46.2,,,,Oceania,OECD,High income,Year," $34,176.00 "," 4,566,700.00 "
2014,New Zealand,34.9,1.43,5.77,19.2,Oceania,OECD,High income,," $34,170.00 "," 4,567,522.00 "
2015,New Zealand,35,1.44,,19.1,Oceania,OECD,High income,Year," $35,034.00 "," 4,614,527.00 "
2016,New Zealand,33.6,1.33,,19.7,Oceania,OECD,High income,," $35,963.00 "," 4,659,265.00 "
2017,New Zealand,34.3,1.38,,19.4,Oceania,OECD,High income,Year," $36,751.00 "," 4,702,029.00 "
2018,New Zealand,34.1,1.37,,19.2,Oceania,OECD,High income,Year," $37,445.00 "," 4,743,131.00 "
1993,Nicaragua,56.4,4.8,23.96,9.1,Americas,Non-OECD,Lower middle income,,2797," 4,426,580.00 "
1993,Nicaragua,54.4,4.22,20.75,9.9,Americas,Non-OECD,Lower middle income,,2797," 4,426,580.00 "
1993,Nicaragua,58.2,5.51,30.7,8.2,Americas,Non-OECD,Lower middle income,,2797," 4,426,580.00 "
1993,Nicaragua,53.6,4.02,23.67,10,Americas,Non-OECD,Lower middle income,,2797," 4,426,580.00 "
1993,Nicaragua,54.9,4.32,20.93,10,Americas,Non-OECD,Lower middle income,,2797," 4,426,580.00 "
1993,Nicaragua,57.36,5.16,28.42,8.55,Americas,Non-OECD,Lower middle income,Year,2775," 4,462,496.00 "
1993,Nicaragua,50.36,3.26,13.09,12.2,Americas,Non-OECD,Lower middle income,Year,2775," 4,462,496.00 "
1993,Nicaragua,55.9,4.67,22.88,9.2,Americas,Non-OECD,Lower middle income,,2797," 4,426,580.00 "
1993,Nicaragua,53.9,,,,Americas,Non-OECD,Lower middle income,,2797," 4,426,580.00 "
1993,Nicaragua,52.5,,,,Americas,Non-OECD,Lower middle income,,2797," 4,426,580.00 "
1998,Nicaragua,54.2,4.05,18.25,10.7,Americas,Non-OECD,Lower middle income,,3191," 4,869,626.00 "
1998,Nicaragua,52.2,3.62,16.2,11.5,Americas,Non-OECD,Lower middle income,,3191," 4,869,626.00 "
1998,Nicaragua,58.3,5.56,30.7,8.2,Americas,Non-OECD,Lower middle income,,3191," 4,869,626.00 "
1998,Nicaragua,55.8,4.86,28.9,8.6,Americas,Non-OECD,Lower middle income,,3191," 4,869,626.00 "
1998,Nicaragua,55.1,4.31,19.67,10.2,Americas,Non-OECD,Lower middle income,,3191," 4,869,626.00 "
1998,Nicaragua,54.43,4.12,18.9,10.53,Americas,Non-OECD,Lower middle income,Year,3164," 4,910,642.00 "
1998,Nicaragua,45.16,2.45,9.62,14.7,Americas,Non-OECD,Lower middle income,Year,3164," 4,910,642.00 "
1998,Nicaragua,55.9,4.57,22.04,9.6,Americas,Non-OECD,Lower middle income,,3191," 4,869,626.00 "
1998,Nicaragua,54.3,,,,Americas,Non-OECD,Lower middle income,,3191," 4,869,626.00 "
1998,Nicaragua,53,,,,Americas,Non-OECD,Lower middle income,,3191," 4,869,626.00 "
2001,Nicaragua,52.9,3.7,14.82,11.6,Americas,Non-OECD,Lower middle income,,3495," 5,100,750.00 "
2001,Nicaragua,50.3,3.21,12.66,12.7,Americas,Non-OECD,Lower middle income,,3495," 5,100,750.00 "
2001,Nicaragua,56.8,4.69,21.71,9.7,Americas,Non-OECD,Lower middle income,,3465," 5,145,367.00 "
2001,Nicaragua,52.88,3.69,14.76,11.63,Americas,Non-OECD,Lower middle income,Year,3465," 5,145,367.00 "
2001,Nicaragua,43.08,2.18,8.78,15.45,Americas,Non-OECD,Lower middle income,Year,3465," 5,145,367.00 "
2005,Nicaragua,48.8,2.96,11.14,13.4,Americas,Non-OECD,Lower middle income,,3760," 5,379,328.00 "
2005,Nicaragua,46.4,2.64,10.1,14.3,Americas,Non-OECD,Lower middle income,,3760," 5,379,328.00 "
2005,Nicaragua,52.6,3.77,15.89,11.1,Americas,Non-OECD,Lower middle income,,3718," 5,438,692.00 "
2005,Nicaragua,48.82,2.97,11.31,13.33,Americas,Non-OECD,Lower middle income,Year,3718," 5,438,692.00 "
2005,Nicaragua,40.49,1.91,7.61,16.49,Americas,Non-OECD,Lower middle income,Year,3718," 5,438,692.00 "
2009,Nicaragua,43.9,2.3,9.42,14.9,Americas,Non-OECD,Lower middle income,,3907," 5,666,581.00 "
2009,Nicaragua,41.7,2.03,8.31,16,Americas,Non-OECD,Lower middle income,,3907," 5,666,581.00 "
2009,Nicaragua,46.3,2.65,11.44,13.4,Americas,Non-OECD,Lower middle income,,3853," 5,745,538.00 "
2009,Nicaragua,43.94,2.29,9.44,14.94,Americas,Non-OECD,Lower middle income,Year,3853," 5,745,538.00 "
2014,Nicaragua,46.2,2.58,10,14.4,Americas,Non-OECD,Lower middle income,," $4,785.00 "," 6,013,997.00 "
2014,Nicaragua,44.2,2.35,9.16,15.2,Americas,Non-OECD,Lower middle income,," $4,785.00 "," 6,013,997.00 "
2014,Nicaragua,49.5,3.13,13.63,12.6,Americas,Non-OECD,Lower middle income,," $4,685.00 "," 6,142,734.00 "
2014,Nicaragua,46.16,2.6,10.13,14.31,Americas,Non-OECD,Lower middle income,Year," $4,685.00 "," 6,142,734.00 "
1960,Niger,29.2,,,,Africa,Non-OECD,Low income,,," 3,388,764.00 "
1960,Niger,34,,5.38,19.4,Africa,Non-OECD,Low income,,," 3,388,764.00 "
1993,Niger,36.1,1.54,5.89,19.17,Africa,Non-OECD,Low income,Year,786," 8,860,297.00 "
1995,Niger,41.53,2,8.1,16.22,Africa,Non-OECD,Low income,Year,784," 9,490,289.00 "
2005,Niger,44.43,2.34,8.74,15.49,Africa,Non-OECD,Low income,Year,763," 13,624,474.00 "
2008,Niger,37.3,1.64,5.93,19.08,Africa,Non-OECD,Low income,Year,815," 15,250,913.00 "
2011,Niger,31.45,1.22,4.57,21.6,Africa,Non-OECD,Low income,Year, $799.00 ," 17,114,770.00 "
2014,Niger,34.28,1.38,5.45,19.59,Africa,Non-OECD,Low income,Year, $900.00 ," 19,240,182.00 "
1959,Nigeria,46.8,,,,Africa,Non-OECD,Lower middle income,,," 44,254,686.00 "
1959,Nigeria,51,,8.7,14,Africa,Non-OECD,Lower middle income,,," 44,254,686.00 "
1970,Nigeria,59.8,,,,Africa,Non-OECD,Lower middle income,Year,," 55,981,400.00 "
1970,Nigeria,61.8,,6.59,,Africa,Non-OECD,Lower middle income,,," 55,981,400.00 "
1971,Nigeria,57.9,,,,Africa,Non-OECD,Lower middle income,Year,," 57,295,210.00 "
1971,Nigeria,60.3,,7.13,,Africa,Non-OECD,Lower middle income,,," 57,295,210.00 "
1972,Nigeria,52.5,,,,Africa,Non-OECD,Lower middle income,Year,," 58,662,603.00 "
1972,Nigeria,55.2,,7.73,,Africa,Non-OECD,Lower middle income,,," 58,662,603.00 "
1975,Nigeria,35.5,,,,Africa,Non-OECD,Lower middle income,,," 63,373,572.00 "
1975,Nigeria,43,,,,Africa,Non-OECD,Lower middle income,,," 63,373,572.00 "
1980,Nigeria,42.6,3.46,14.85,10.93,Africa,Non-OECD,Lower middle income,,," 73,460,724.00 "
1980,Nigeria,44.4,3.91,16.71,10.1,Africa,Non-OECD,Lower middle income,,," 73,460,724.00 "
1980,Nigeria,37.2,,,,Africa,Non-OECD,Lower middle income,,," 73,460,724.00 "
1980,Nigeria,36.7,,,,Africa,Non-OECD,Lower middle income,,," 73,460,724.00 "
1981,Nigeria,35.2,,,,Africa,Non-OECD,Lower middle income,,," 75,482,552.00 "
1982,Nigeria,36.1,,,,Africa,Non-OECD,Lower middle income,,," 77,472,907.00 "
1986,Nigeria,39.1,2.82,11.49,13.15,Africa,Non-OECD,Lower middle income,,," 83,613,300.00 "
1986,Nigeria,48.8,4.06,17.98,10.29,Africa,Non-OECD,Lower middle income,,," 83,613,300.00 "
1986,Nigeria,38.68,1.72,7.48,16.43,Africa,Non-OECD,Lower middle income,Year,," 85,766,400.00 "
1986,Nigeria,38.7,,,,Africa,Non-OECD,Lower middle income,Year,," 83,613,300.00 "
1992,Nigeria,51.8,5.03,25.32,8.91,Africa,Non-OECD,Lower middle income,,3353," 100,221,563.00 "
1992,Nigeria,46.7,4.03,15.88,10.99,Africa,Non-OECD,Lower middle income,,3353," 100,221,563.00 "
1992,Nigeria,44.98,2.43,12.39,12.91,Africa,Non-OECD,Lower middle income,Year,3355," 100,161,712.00 "
1992,Nigeria,45,,,,Africa,Non-OECD,Lower middle income,Year,3353," 100,221,563.00 "
1997,Nigeria,52.9,3.6,14.51,11.65,Africa,Non-OECD,Lower middle income,,3051," 113,522,705.00 "
1997,Nigeria,47.3,2.9,11.7,13.09,Africa,Non-OECD,Lower middle income,,3051," 113,522,705.00 "
1997,Nigeria,51.92,3.58,15.44,11.38,Africa,Non-OECD,Lower middle income,Year,3051," 113,522,705.00 "
2004,Nigeria,40.06,1.86,8.12,16.04,Africa,Non-OECD,Lower middle income,Year,3974," 135,320,416.00 "
2010,Nigeria,44.7,,,,Africa,Non-OECD,Lower middle income,," $5,083.00 "," 158,578,261.00 "
2010,Nigeria,43.3,,,,Africa,Non-OECD,Lower middle income,," $5,083.00 "," 158,578,261.00 "
2010,Nigeria,44.7,,,,Africa,Non-OECD,Lower middle income,," $5,083.00 "," 158,578,261.00 "
2010,Nigeria,48.8,,12.25,12.68,Africa,Non-OECD,Lower middle income,Year," $5,083.00 "," 158,578,261.00 "
2010,Nigeria,42.97,2.17,9.12,15.08,Africa,Non-OECD,Lower middle income,Year," $5,085.00 "," 158,503,200.00 "
1989,North Macedonia,32.2,,,,Europe,Non-OECD,Upper middle income,,," 1,996,870.00 "
1990,North Macedonia,34.9,,,,Europe,Non-OECD,Upper middle income,,9633," 1,996,228.00 "
1990,North Macedonia,22.3,,,,Europe,Non-OECD,Upper middle income,,9633," 1,996,228.00 "
1991,North Macedonia,26.7,,,,Europe,Non-OECD,Upper middle income,,9052," 1,993,302.00 "
1992,North Macedonia,23.5,,,,Europe,Non-OECD,Upper middle income,,8477," 1,988,659.00 "
1993,North Macedonia,27.2,,,,Europe,Non-OECD,Upper middle income,,7863," 1,984,028.00 "
1994,North Macedonia,25.3,,,,Europe,Non-OECD,Upper middle income,,7733," 1,981,703.00 "
1994,North Macedonia,27.3,1.27,7.85,16.58,Europe,Non-OECD,Upper middle income,Year,7733," 1,981,703.00 "
1995,North Macedonia,27,,,,Europe,Non-OECD,Upper middle income,,7641," 1,983,252.00 "
1995,North Macedonia,29.5,1.5,8.04,16,Europe,Non-OECD,Upper middle income,Year,7641," 1,983,252.00 "
1996,North Macedonia,25,,,,Europe,Non-OECD,Upper middle income,,7708," 1,989,443.00 "
1996,North Macedonia,31.1,1.57,9.02,15.53,Europe,Non-OECD,Upper middle income,Year,7708," 1,989,443.00 "
1996,North Macedonia,31.2,,,,Europe,Non-OECD,Upper middle income,,7708," 1,989,443.00 "
1996,North Macedonia,45.6,2.56,16.3,12.15,Europe,Non-OECD,Upper middle income,,7708," 1,989,443.00 "
1996,North Macedonia,39.6,,,,Europe,Non-OECD,Upper middle income,,7708," 1,989,443.00 "
1997,North Macedonia,25.9,,,,Europe,Non-OECD,Upper middle income,,7779," 1,999,599.00 "
1997,North Macedonia,29.5,1.58,9.46,15.4,Europe,Non-OECD,Upper middle income,Year,7779," 1,999,599.00 "
1997,North Macedonia,35.6,1.39,5.99,18.9,Europe,Non-OECD,Upper middle income,,7779," 1,999,599.00 "
1997,North Macedonia,35.5,1.38,5.98,18.94,Europe,Non-OECD,Upper middle income,,7779," 1,999,599.00 "
